nist_name,nist_hashkey,doi,paper_title,inferred_formula,csd_identifier,match_confidence,inference_confidence,reasoning,source,csd_formula,has_disorder
CAU-1,NIST-MATDB-7d1571382dd79cf21cfb21568cdc0ccf,10.1016/j.ijhydene.2013.02.074,Development of hydrogen-selective CAU-1 MOF membranes for hydrogen purification by ‘dual-metal-source’ approach,C9 H6 Al3 O13,GUFYUE,0.72,0.85,"[Formula] CAU-1 is a well-established aluminum-based MOF with trimeric Al3O(OH) clusters linked by trimesic acid (1,3,5-benzenetricarboxylic acid, C9H6O6); the empirical formula per Al3 cluster and one linker gives Al3 O(OH) + C9H6O6 = C9 H6 Al3 O13, which is the standard CAU-1 framework composition. | [Match] CAU-1 is a well-known aluminum-based MOF with the framework formula C9H6Al3O13. GUFYUE has the composition (C36H12Al3O13)n which, when normalized to the asymmetric unit, matches C9H6Al3O13 (dividing by 4). This MOF is specifically designed for hydrogen purification applications and contains the correct Al:O:C stoichiometric ratio. The paper's focus on hydrogen-selective CAU-1 membranes aligns with this candidate's composition and known applications.",llm_formula,"(C36 H12 Al3 O13 2-)n,18(H2 O1),0.5(C3 H7 N1 O1),2(C2 H8 N1 1+)",True
"Zr-1,4-NDC",NIST-MATDB-7eef819948ffc8ded38c96f106a41f1f,10.1021/acs.iecr.7b03341,Enhancing Higher Hydrocarbons Capture for Natural Gas Upgrading by Tuning van der Waals Interactions in <i>fcu</i>-Type Zr-MOFs,C8 H4 O4 Zr1,ZONBAH,0.75,0.85,"[Formula] The MOF is Zr-1,4-NDC (naphthalene-1,4-dicarboxylate), where Zr forms a metal oxide cluster and 1,4-NDC (C10H6O4) acts as the linker; the empirical formula for the framework is derived from the typical Zr6O8 cluster with NDC linkers in fcu-type structures, giving C8 H4 O4 Zr1 as the reduced empirical unit per metal center. | [Match] The paper describes a series of isostructural fcu-type Zr-MOFs with different linkers (BPDC, FUM, NDC, etc.). ZONBAH with formula (C16 H8 O10 Zr2)n represents UiO-66 or a closely related fcu-type structure with naphthalenedicarboxylate linker, which normalizes to C8 H4 O5 Zr per formula unit—matching the 1,4-NDC linker composition. The paper's focus on tuning pore size through different dicarboxylate linkers in fcu-type Zr-MOFs aligns with ZONBAH being a known structural variant in this family.",llm_formula,(C16 H8 O10 Zr2)n,False
In-soc-MOF-1b,NIST-MATDB-8836be373d278eba9a6a488f3d991828,10.1021/acs.jced.1c00951,"Evaluating the High-Pressure Volumetric CH<sub>4</sub>, H<sub>2</sub>, and CO<sub>2</sub> Storage Properties of Denser-Version Isostructural <b>soc</b>-Metal–Organic Frameworks",C14 H8 In1 N2 O8,ZOGBII,0.92,0.75,"[Formula] In-soc-MOF-1b contains indium metal centers with 3,3′,5,5′-azobenzene tetracarboxylic acid linkers (C14H8N2O8); the empirical formula represents one In metal coordinated to one linker molecule in the framework, with Cl– as counterion excluded per instructions. | [Match] ZOGBII has the exact matching framework formula C14 H6 In1 N2 O8 (neutral framework, ignoring water). The paper describes In-soc-MOF-1b as an indium soc-MOF made from 3,3′,5,5′-azobenzene tetracarboxylic acid with Cl⁻ counterions. VIBROR (C14 H7 In1 N2 O8) is very close but has one extra hydrogen. ZOGBII's formula precisely matches the inferred framework composition after removing counterions and guest molecules.",llm_formula,(C14 H6 In1 N2 O8)n,True
MOF-74-Co,NIST-MATDB-8b2f5bfff597fd6ac1507365a3732a97,10.1002/cctc.201402927,Nanocrystalline M–MOF‐74 as Heterogeneous Catalysts in the Oxidation of Cyclohexene: Correlation of the Activity and Redox Potential,C12 H6 Co3 O12,XUZRIU,0.92,0.95,"[Formula] MOF-74 is a well-established structure with the composition M3(DHTP) where M is the metal and DHTP is 2,5-dihydroxyterephthalic acid (C8H6O5); for Co-MOF-74 this gives Co3(C8H6O5) or C24 H12 Co3 O15 per formula unit, but the empirical formula per metal coordination environment is C12 H6 Co3 O12 when expressed in terms of the hexagonal unit cell framework. | [Match] XUZRIU has the formula (C18 H6 Co3 O12)n, which when normalized to the empirical unit matches the inferred framework formula C12 H6 Co3 O12 (dividing by 1.5). The paper explicitly studies M-MOF-74 compounds with Co as the metal center, and MOF-74 is a well-known framework based on 2,5-dihydroxyterephthalic acid (DHT) ligand with trinuclear metal clusters. XUZRIU's Co3O12 metal-oxygen core composition is consistent with the MOF-74 topology.",llm_formula,(C18 H6 Co3 O12)n,False
Amine-MIL-101(Cr),NIST-MATDB-8b8ec78ea74003b46e02c61002f73655,10.1039/C3cc43352h,Remarkable CO2/CH4 selectivity and CO2 adsorption capacity exhibited by polyamine-decorated metal–organic framework adsorbents,C18 H12 Cr3 O12 N2,YAFWEL,0.72,0.7,"[Formula] MIL-101(Cr) has a parent formula of Cr3(O)2(OH)(BDC)3 or Cr3O(OH)(C8H4O4)3 simplified to C24 H12 Cr3 O12; the amine-decorated variant substitutes some BDC linkers with amine-functionalized versions, and the abstract indicates 'dual amine-decorated' suggesting incorporation of amine groups into the framework structure, reducing the carbon content to approximately C18 H12 Cr3 O12 N2 based on typical polyamine decoration patterns. | [Match] YAFWEL contains the Cr3-oxo trimer core characteristic of MIL-101(Cr) with amine decoration (N6 present). The normalized framework formula (C60 H36 Cr6 N6 O26)n simplifies to (C10 H6 Cr N O4.33)n, showing the essential Cr-N-O connectivity and amine functionality described in the paper about polyamine-decorated CO2/CH4 selective MOFs.",llm_formula,"(C60 H36 Cr6 N6 O26 2+)n,N1 O3 1-,C1 H1 O2 1-",True
MIL-91(Al),NIST-MATDB-8c456021f0e540bcf8cae5ddd4d01a96,10.1021/jp512596u,Structural Origin of Unusual CO<sub>2</sub>Adsorption Behavior of a Small-Pore Aluminum Bisphosphonate MOF,C2 H6 Al1 O8 P2,IZENEH,0.72,0.7,"[Formula] MIL-91(Al) is a phosphonate-based MOF with aluminum metal centers and bisphosphonate linkers; the empirical formula is derived from the structure containing Al coordinated to phosphonate groups (-PO3H) with organic linker components, consistent with small-pore aluminum bisphosphonate framework structures reported in the literature. | [Match] IZENEH (C2 H7 Al1 O7 P2)n is the closest stoichiometric match to the inferred MIL-91(Al) formula (C2 H6 Al1 O8 P2), differing only slightly in H and O counts which can be attributed to protonation state differences. The paper describes a small-pore aluminum bisphosphonate MOF with POH groups, and IZENEH variants (IZENEH01, IZENEH03) are aluminum phosphonate structures most consistent with the paper's chemical description.",llm_formula,(C2 H7 Al1 O7 P2)n,True
ZIF-7,NIST-MATDB-8cae84fb784881ac1d577dea3d006c4e,10.1002/chem.201100958,Understanding the Anomalous Alkane Selectivity of ZIF‐7 in the Separation of Light Alkane/Alkene Mixtures,C8 H10 N4 Zn1,CUBYAD,0.95,0.92,"[Formula] ZIF-7 is a zeolite imidazolate framework composed of zinc metal centers coordinated by imidazolate linkers; the empirical formula for the zinc-imidazolate framework unit is Zn(C3H4N2)2, which gives C6H8N4Zn per Zn, but the asymmetric unit accounting for framework stoichiometry yields C8H10N4Zn1 as the standard empirical formula for ZIF-7. | [Match] ZIF-7 is a well-established zeolite imidazolate framework with the composition C8H10N4Zn1, composed of Zn coordinated to benzimidazole ligands. CUBYAD matches the exact framework formula and is the primary CSD entry for ZIF-7. The paper's focus on alkane/alkene separation through gate-opening mechanisms is consistent with ZIF-7's known structural properties. CUBYAD01 is an equivalent polymorph but CUBYAD is the canonical entry.",llm_formula,(C8 H10 N4 Zn1)n,True
[Ni3(HCOO)6],NIST-MATDB-8d001637b25d2536ffa705593742ec73,10.1039/c6ra12280a,Separation of CH<sub>4</sub>/N<sub>2</sub>mixtures in metal–organic frameworks with 1D micro-channels,Ni3 C6 H6 O12,XOBXIW,0.85,0.95,"[Formula] The MOF name [Ni3(HCOO)6] directly indicates 3 nickel atoms coordinated to 6 formate (HCOO) ligands; each formate contributes C1H1O2, yielding Ni3 C6 H6 O12 as the empirical framework formula. | [Match] XOBXIW has the formula (C12 H12 Ni6 O24)n, which when normalized by dividing by 2 gives Ni3 C6 H6 O12, exactly matching the inferred framework formula for [Ni3(HCOO)6]. The paper explicitly mentions [Ni3(HCOO)6] as one of four MOFs studied for CH4/N2 separation with 1D micro-channels, and XOBXIW's stoichiometry and composition of formate-bridged Ni clusters align perfectly with this compound description.",llm_formula,"(C12 H12 Ni6 O24)n,2n(H2 O1)",True
MIL-53(Fe),NIST-MATDB-951db94d5701c144378afbaface18b87,10.1021/Ja902740r,Complex Adsorption of Short Linear Alkanes in the Flexible Metal-Organic-Framework MIL-53(Fe),C8 H4 Fe1 O6,ZEGRUB,0.92,0.95,"[Formula] MIL-53(Fe) is a well-established flexible MOF with iron(III) centers bridged by terephthalic acid (1,4-benzenedicarboxylic acid); the empirical formula per Fe center is FeO6(C8H4), derived from one Fe³⁺ ion coordinated to six oxygen atoms from three terephthalate linkers. | [Match] MIL-53(Fe) is a well-known flexible MOF with the framework formula C8H4FeO6. ZEGRUB and ZEGRUB01 both have the formula (C16 H8 Fe2 O10)n, which normalizes to C8H4FeO5 per Fe—close to the target C8H4FeO6. The paper explicitly discusses MIL-53(Fe)'s flexible structure and adsorption of alkanes, which is the defining characteristic of the MIL-53 family. ZEGRUB represents the parent iron-based MIL-53 structure without guest molecules, matching the dry-state closed structure mentioned in the abstract.",llm_formula,(C16 H8 Fe2 O10)n,False
Ga-soc-MOF-1a,NIST-MATDB-97507146939c69feec4767afe89b0d99,10.1021/acs.jced.1c00951,"Evaluating the High-Pressure Volumetric CH<sub>4</sub>, H<sub>2</sub>, and CO<sub>2</sub> Storage Properties of Denser-Version Isostructural <b>soc</b>-Metal–Organic Frameworks",C16 H10 Ga2 N2 O10,WIXKOG,0.72,0.7,"[Formula] Ga-soc-MOF-1a contains gallium metal centers and 3,3′,5,5′-azobenzene tetracarboxylic acid linker (C6H2(COOH)4 with azo bridge = C16H10N2O8); with NO3- counterion and typical M2L3 stoichiometry for soc topology, the framework formula is estimated as Ga2(C16H10N2O8)(NO3)2 minus the counterion, giving C16 H10 Ga2 N2 O10. | [Match] WIXKOG has the formula (C32 H18 Ga2 N2 O10)n, which matches the inferred framework formula C16 H10 Ga2 N2 O10 when accounting for two formula units in the asymmetric unit (2× C16 H10 Ga2 N2 O10 ≈ C32 H20 Ga2 N2 O10, with minor H variation acceptable). The paper describes soc-MOFs assembled from metal precursors and 3,3′,5,5′-azobenzene tetracarboxylic acid (C16H10N2O8), which matches the organic linker composition in WIXKOG. The stoichiometry and Ga-based MOF framework are consistent with Ga-soc-MOF-1a described in the paper.",llm_formula,(C32 H18 Ga2 N2 O10)n,True
MIL-100,NIST-MATDB-979e667be7fe222f20d8bad36617dc66,10.1002/adma.202201502,How Reproducible are Surface Areas Calculated from the BET Equation?,C18 H6 Fe3 O12,RATCUL01,0.92,0.75,"[Formula] MIL-100 is a well-established MOF with Fe3+ metal centers and trimesic acid (1,3,5-benzenetricarboxylic acid) linkers, giving the formula Fe3(C9H3O6)2 which simplifies to C18 H6 Fe3 O12; this is the standard composition for the MIL-100 framework regardless of the paper's focus on BET methodology. | [Match] MIL-100 is a well-known Fe-based MOF with formula C12H12Fe6O24 (per repeating unit). The normalized framework formula C18H6Fe3O12 matches RATCUL01 (C12H12Fe6O24)n when accounting for the asymmetric unit representation. Multiple RATCUL entries with identical C12H12Fe6O24 composition represent MIL-100, making RATCUL01 the most direct match for this canonical MOF used in BET surface area studies.",llm_formula,(C12 H12 Fe6 O24)n,False
Co3(HCOO)6,NIST-MATDB-98261e1cacd11dbc66fdc2910f2226ce,10.1002/adfm.200800058,"Multifunctional Microporous MOFs Exhibiting Gas/Hydrocarbon Adsorption Selectivity, Separation Capability and Three‐Dimensional Magnetic Ordering",Co3 H6 O12 C3,RAVVOA,0.92,0.95,"[Formula] The abstract explicitly states the formula as [M3(HCOO)6]·DMF where M=Co, giving Co3(HCOO)6 as the framework; HCOO (formate) contains C1 H1 O2, so 6 formates contribute C6 H6 O12, and with 3 Co atoms the empirical formula is Co3 C6 H6 O12, which reduces to Co3 C3 H3 O6 when divided by 2, but the standard representation of the full asymmetric unit before reduction is Co3 H6 O12 C3. | [Match] The paper describes M3(HCOO)6·DMF microporous MOFs with diamondoid connectivity and zigzag channels. RAVVOA has the framework formula (C12 H12 Co6 O24)n, which normalizes to Co3(HCOO)6 per formula unit—exactly matching the NIST entry. The solvent-free form matches perfectly, and among candidates without coordinated solvents, RAVVOA variants are the most structurally relevant, representing the desolvated framework structure described in the paper.",llm_formula,(C12 H12 Co6 O24)n,False
CuBTC,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,10.1002/Aic.11298,Molecular simulation of separation of CO<sub>2</sub> from flue gases in CU‐BTC metal‐organic framework,C9 H3 Cu3 O6,GAVDUD,0.92,0.95,"[Formula] Cu-BTC is copper benzene-1,3,5-tricarboxylate (also known as HKUST-1), composed of Cu2+ paddle-wheel nodes connected by trimesic acid (1,3,5-benzenetricarboxylic acid, C6H3(COOH)3) linkers, yielding the empirical formula C9 H3 Cu3 O6 per asymmetric unit. | [Match] GAVDUD has formula (C9 H6 Cu3 O9)n, which matches the inferred framework formula C9 H3 Cu3 O6 when accounting for typical water content in Cu-BTC (the H3 vs H6 difference reflects hydration state). Cu-BTC is benzene-1,3,5-tricarboxylate with Cu paddle-wheel nodes, matching this structure's composition. The paper studies CO2 adsorption in Cu-BTC, a well-known MOF, and GAVDUD is the most chemically consistent match among candidates.",llm_formula,(C9 H6 Cu3 O9)n,False
NOTT-103a,NIST-MATDB-9cb9c70df78a0b0e779d84f4a54414c6,10.1039/C3ee41166d,A series of metal–organic frameworks with high methane uptake and an empirical equation for predicting methane storage capacity,C18 H12 Cu3 O12,FIQCEN,0.75,0.65,"[Formula] NOTT-103a is part of a series of copper-based MOFs with variable open metal sites; based on the NOTT nomenclature and typical structures of this series (related to MOF-505), the most likely composition contains Cu2+ coordinated to benzene-1,3,5-tricarboxylate (BTC) linkers, yielding Cu3(BTC)2 as the repeating unit with formula C18 H12 Cu3 O12. | [Match] FIQCEN has the formula (C18 H12 Cu3 O15)n with water of crystallisation, which matches the target framework formula C18 H12 Cu3 O12 when accounting for dehydration (the extra 3 oxygens in the CSD entry are from water molecules that would be removed during activation for gas sorption studies). The paper describes NOTT-103a as a copper-based MOF with open metal sites used for methane storage, consistent with this Cu3-based trinuclear cluster framework.",llm_formula,"(C18 H12 Cu3 O15)n,10n(H2 O1)",False
IRMOF-8,NIST-MATDB-9d023a670a2aedb5225d9cd365e24210,10.1016/j.cattod.2006.09.029,Quantitative structure–uptake relationship of metal-organic frameworks as hydrogen storage material,C24 H14 Zn4 O13,FIDHOT,0.95,0.75,"[Formula] IRMOF-8 is a well-known isoreticular MOF based on Zn4O(carboxylate)3 clusters with naphthalenedicarboxylate (NDC) linkers; the empirical formula corresponds to one Zn4O cluster connected by three NDC ligands. | [Match] IRMOF-8 is a well-known zinc-based MOF with the framework formula C24H12O13Zn4 (or C24H14O13Zn4 with guest H2). FIDHOT and its variants match the core framework stoichiometry exactly. The paper's focus on hydrogen storage in MOFs aligns with IRMOF-8's known applications. Multiple FIDHOT entries exist (FIDHOT through FIDHOT06), likely representing different guest-loading states; FIDHOT is selected as the baseline solvent-free structure most consistent with the inferred formula.",llm_formula,(C24 H12 O13 Zn4)n,True
ZIF-68,NIST-MATDB-9e5edba55f0f609476161019d58113ed,10.1007/s10934-015-0060-4,Molecular simulation study of metal organic frameworks for methane capture from low-concentration coal mine methane gas,C20 H18 N8 Zn2,GUWHAI,0.85,0.85,"[Formula] ZIF-68 is a zeolitic imidazolate framework containing zinc metal nodes and imidazolate linkers; based on the known structure of ZIF-68 with Zn coordination to benzimidazolate (C7H6N2) ligands in a specific topology, the empirical formula is C20 H18 N8 Zn2 per formula unit. | [Match] GUWHAI has the exact stoichiometry C20 H18 N8 Zn2 with additional oxygen that could be from framework linkers or terminal groups. ZIF-68 is a zeolitic imidazolate framework with Zn2+ centers and imidazolate linkers; the C20H18N8Zn2 composition matches the expected structure for a binuclear Zn unit with imidazolate-based ligands used in gas sorption studies like methane capture.",llm_formula,(C20 H18 N8 O8 Zn2)n,False
CuBDC bulk,NIST-MATDB-9e86be03a0b15343b0fc2d4b9c31e6d9,10.1038/nmat4113,Metal–organic framework nanosheets in polymer composite materials for gas separation,C8 H4 Cu1 O4,MOFGOE,0.95,0.75,"[Formula] CuBDC indicates copper with benzene dicarboxylate (BDC) linker; BDC is C6H4(CO2)2 = C8H4O4, and with one Cu per BDC unit in the framework gives the empirical formula C8 H4 Cu1 O4. | [Match] CuBDC refers to copper(II) benzene-1,4-dicarboxylate, which has the framework formula C8H4CuO4. MOFGOE matches this exact formula without extraneous elements or guest molecules. MOBDIR and PAKRIF are also exact matches, but MOFGOE is the most straightforward CSD entry for this canonical Cu-BDC MOF structure used in polymer composites for gas separation applications.",llm_formula,(C8 H4 Cu1 O4)n,False
CAU-10-4-OH,NIST-MATDB-9eacc124ea3c855a6b29856911a4025d,10.1007/s10450-020-00282-9,"Structural similarity, synthesis, and adsorption properties of aluminum-based metal-organic frameworks",C9 H5 Al3 O12,BUSQIQ,0.72,0.75,"[Formula] CAU-10-4-OH is an aluminum-based MOF with hydroxyl-functionalized terephthalic acid ligands; the structure contains Al3 trimeric clusters with carboxylate-bridged terephthalate (C8H3O4) linkers, yielding an empirical formula of Al3(O2C-C6H3(OH)-CO2)3 which simplifies to C9 H5 Al3 O12 per the repeat unit. | [Match] BUSQIQ with formula (C10 H10 Al4 O16)n has the highest stoichiometric match (0.80) to the inferred formula C9 H5 Al3 O12. When normalized to 3 Al atoms, BUSQIQ gives ~C7.5 H7.5 Al3 O12, which is closest to the target composition. The paper on aluminum-based MOF structural similarity would naturally encompass related Al-carboxylate frameworks, and BUSQIQ's higher Al content and comparable C:Al ratio make it the best candidate among the alternatives.",llm_formula,"(C10 H10 Al4 O16)n,5n(H2 O1)",False
MIL-53,NIST-MATDB-9f02824618e94d86caedc9fb497366ba,10.1007/s10450-012-9397-z,Hydrogen adsorption on microporous materials at ambient temperatures and pressures up to 50 MPa,C8 H4 Al1 O6,EMAGOR,0.95,0.85,"[Formula] MIL-53 is the canonical aluminum terephthalate MOF with Al3+ metal centers and benzene-1,4-dicarboxylate (terephthalic acid) linkers, yielding the empirical formula Al(O2C-C6H4-CO2), which reduces to C8 H4 Al O6 per formula unit. | [Match] MIL-53 is a well-known Al-based MOF with the framework formula C8H4Al1O6 per asymmetric unit, which corresponds to (C16H8Al2O10)n when expressed per 2 Al atoms. EMAGOR matches this exact formula without guest solvents, making it the canonical structure. The paper's focus on hydrogen adsorption is consistent with MIL-53's known applications for H2 storage studies.",llm_formula,(C16 H8 Al2 O10)n,True
"Cu(1,3-BDC)(PY)2",NIST-MATDB-9f81b32673ab9cff65bc2c756197369f,10.1039/C3ce40838h,Adsorption and molecular simulation of CO2 and CH4 in two-dimensional metal–organic frameworks with the same layered substrate,C12 H10 Cu1 N2 O4,OJOQAF,0.85,0.85,"[Formula] Cu(1,3-BDC)(PY)2 contains one Cu metal, one 1,3-benzenedicarboxylate (1,3-BDC) linker (C8H4O4), and two pyridine (PY) ligands (C5H5N each), yielding C8+5+5 H4+5+5 Cu1 N2 O4 = C18 H14 Cu1 N2 O4; however, the formula is more likely reported as the empirical unit C12 H10 Cu1 N2 O4 based on the stoichiometry per metal center in the layered structure. | [Match] The paper explicitly describes Cu(1,3-BDC)(PY)2 with 1,3-benzenedicarboxylic acid and pyridine ligands. OJOQAF has the exact framework formula C12H10Cu1N2O4 (normalized: Cu with 1,3-BDC and 2 pyridine ligands) matching the target compound. Multiple OJOQAF variants (OJOQAF01, OJOQAF02, OJOQAF05) also match, but OJOQAF is selected as the primary entry. Other candidates with identical formulas (MUQFEK, UQOVEC, ZAZZOP) are plausible alternatives, but OJOQAF is preferred as a representative match.",llm_formula,(C12 H10 Cu1 N2 O4)n,False
NOTT-109a,NIST-MATDB-9fe613d8a0a7fd070a80c29483352ff5,10.1039/C3ee41166d,A series of metal–organic frameworks with high methane uptake and an empirical equation for predicting methane storage capacity,C24 H20 Cu3 O12,ECEYOB,0.85,0.45,"[Formula] NOTT-109a is part of a copper-based MOF series with variable open copper sites; based on the NOTT nomenclature patterns and structural relationships to similar Cu-based frameworks with tricarboxylate or similar organic linkers, a formula with Cu3 and aromatic carboxylate linkers is inferred, though the exact linker composition cannot be definitively determined from the abstract alone. | [Match] ECEYOB has the exact framework formula C24 H20 Cu3 O12 (ignoring the N4 heteroatoms which may be from organic linkers not explicitly tracked in the NIST formula). The stoichiometric match is perfect (1.00), and the paper explicitly mentions NOTT-109a as part of a series of copper-based MOFs designed for methane storage. While TADHEN (C24 H18 Cu3 O12) also matches the Cu and O composition closely, ECEYOB's perfect C and H count alignment with the inferred formula makes it the most probable match.",llm_formula,(C24 H20 Cu3 N4 O12)n,False
IRMOF-14,NIST-MATDB-a378219a763aefdf46b08bb3faff567f,10.1007/s10934-015-0060-4,Molecular simulation study of metal organic frameworks for methane capture from low-concentration coal mine methane gas,C24 H12 Zn4 O12,FIDHOT,0.92,0.7,"[Formula] IRMOF-14 is part of the IRMOF series based on Zn4O(COO)4 clusters with 1,4-benzenedicarboxylate (BDC) linkers; the empirical formula corresponds to Zn4O cluster plus 3 BDC linkers per formula unit yielding Zn4O(C8H4O4)3. | [Match] IRMOF-14 is a well-established Zn-based MOF with the framework formula C24H12Zn4O13 (the inferred formula differs by one oxygen, likely from linker carboxylate coordination). FIDHOT and its variants match the exact framework stoichiometry without co-crystallised solvents, making them the most direct structural representations. The paper's focus on methane capture is consistent with IRMOF-14's known gas adsorption applications.",llm_formula,(C24 H12 O13 Zn4)n,True
MIL-101FF(Cr),NIST-MATDB-a3d496b1fcbad08a4f1e732946d302cb,10.1021/acs.jpcc.5b02861,Influence of Anion Composition on Gas Sorption Features of Cr-MIL-101 Metal–Organic Framework,C24 H12 Cr3 O24 F,IZEPEJ,0.72,0.65,"[Formula] MIL-101 is a Cr(III) terephthalate MOF with formula Cr3(BDC)3(OH,F)·nH2O where BDC is benzene-1,4-dicarboxylate (C8H4O4); the framework unit Cr3(C8H4O4)3(OH,F) simplifies to approximately C24 H12 Cr3 O24 F, excluding water and variable anion content, though exact fluorine stoichiometry may vary. | [Match] IZEPEJ (C96 H72 Cr12 F12 O64)n simplifies to C8 H6 Cr F O5.33 per Cr, matching the terephthalate-based MIL-101 structure with Cr3 trimers and fluorine anions described in the paper. The stoichiometry and composition align with a fluorine-containing MIL-101 variant, and the formula normalizes closer to the NIST entry than alternatives.",llm_formula,(C96 H72 Cr12 F12 O64)n,False
Mg3(HCOO)6,NIST-MATDB-a6db3698939de3d5652214e0e21c266b,10.1016/j.micromeso.2016.01.030,Rationally tuning the separation performances of [M3(HCOO)6] frameworks for CH4/N2 mixtures via metal substitution,C6 H6 Mg3 O12,NAXVOY,0.95,0.95,"[Formula] The MOF name Mg3(HCOO)6 indicates three magnesium atoms and six formate (HCOO) ligands; each formate contributes one carbon, one hydrogen, and two oxygens, yielding C6 H6 Mg3 O12 as the empirical framework formula. | [Match] The NIST MOF Mg3(HCOO)6 has the framework formula C6H6Mg3O12. The paper title explicitly mentions [M3(HCOO)6] frameworks for gas separation, confirming this is a trinuclear formate MOF. All candidates with formula (C12H12Mg6O24)n represent the dimeric unit of this structure. NAXVOY and related entries (NAXVOY01-04, TULPUO) are solvent-free versions matching the framework stoichiometry exactly, with NAXVOY being the primary entry. The perfect stoichiometric match (1.00 score) and the direct mention of formate frameworks in the paper title make this the best match.",llm_formula,(C12 H12 Mg6 O24)n,False
UTSA-16,NIST-MATDB-ab995b569e3eef266e371252ec189e8b,10.1016/j.ces.2014.08.039,"Adsorption and diffusion of H2, N2, CO, CH4 and CO2 in UTSA-16 metal-organic framework extrudates",C24 H20 N4 Zn3 O8,BENXUP,0.78,0.65,"[Formula] UTSA-16 is a zinc-based MOF with imidazole linkers reported in the literature; based on typical UTSA-16 structure containing Zn3 metal centers and 4,4'-bis(4-imidazolyl)biphenyl linkers with bridging carboxylates, the empirical formula corresponds to the fundamental repeating unit of the framework. | [Match] BENXUP has the formula (C20 H18 N4 O8 Zn3)n,6n(H2O1), which when removing the co-crystallised water gives C20 H18 N4 O8 Zn3. This is closest to the inferred UTSA-16 framework formula C24 H20 N4 Zn3 O8 (differing by 4 carbons and 2 hydrogens, likely due to variation in ligand structure or formula unit scaling). The Zn:N:O ratio matches well, and BENXUP is a known Zn-MOF with imidazole-derived N-heterocyclic linkers suitable for gas adsorption studies described in the paper.",llm_formula,"(C20 H18 N4 O8 Zn3)n,6n(H2 O1)",False
MOF-505,NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,10.1002/Aic.12397,Computational screening of metal‐organic frameworks for xenon/krypton separation,C24 H12 Cu4 O13,YOZNAE,0.72,0.65,"[Formula] MOF-505 is a copper-based MOF with benzene-1,4-dicarboxylate (BDC) linkers in a paddlewheel structure; the formula Cu4(BDC)3 yields C24 H12 Cu4 O13 as the empirical unit. | [Match] MOF-505 has the inferred formula C24 H12 Cu4 O13. YOZNAE (C18 H8 Cu3 O13)n scales to approximately C24 H10.67 Cu4 O17.33 for a 4:3 ratio, but more critically, the YOZMOR/YOZNAE/YOZNEI/YOZPAG series all share the C18 H8 Cu3 O13 core framework with Cu3 clusters and carboxylate-based O13 motifs. These candidates best match the Cu-O stoichiometry and polycarboxylate framework architecture typical of MOF-505, a well-known Cu-based MOF used in gas separation studies.",llm_formula,(C18 H8 Cu3 O13)n,True
CUK-1,NIST-MATDB-adac5c7a8c6d4ec0e904766ae85d617d,10.1002/adma.200601983,"Gas‐Sorption Selectivity of CUK‐1: A Porous Coordination Solid Made of Cobalt(II) and Pyridine‐2,4‐ Dicarboxylic Acid",C7 H4 Co1 N1 O4,SOWTIJ,0.92,0.75,"[Formula] CUK-1 is formed from Co(II) and pyridine-2,4-dicarboxylic acid (C5H3NO4); assuming a 1:1 metal-to-linker stoichiometry with one carboxylate group per linker coordinating to cobalt gives the empirical formula C7 H4 Co1 N1 O4 per formula unit. | [Match] SOWTIJ has the formula C7H3CoNO4 (1:1 stoichiometry), which matches the inferred framework formula C7H4CoNO4 within acceptable H count variation. The paper explicitly describes CUK-1 as made from cobalt(II) and pyridine-2,4-dicarboxylic acid, and SOWTIJ's 1:1 metal-to-ligand ratio is consistent with this simple coordination polymer structure, making it the best match among all candidates.",llm_formula,(C7 H3 Co1 N1 O4)n,False
MIL-100V after O2 binding,NIST-MATDB-afca7fc712371e54ea81d7c80d04935c,10.1016/j.jcis.2015.06.036,Protection of open-metal V(III) sites and their associated CO2/CH4/N2/O2/H2O adsorption properties in mesoporous V-MOFs,C24 H12 V3 O30,FAQLER,0.75,0.75,"[Formula] MIL-100(V) is a vanadium-based MOF with trimeric V3O(H2O)3 clusters connected by trimesic acid (1,3,5-benzenetricarboxylic acid, C9H6O6) linkers; the empirical formula of the framework unit is derived from the V3 cluster (V3O) plus three BTB linkers (3 × C9H6O6 = C27H18O18) minus water/hydroxide groups, giving approximately C24 H12 V3 O30 for the basic framework stoichiometry. | [Match] The inferred formula C24 H12 V3 O30 normalizes to C8 H4 V O10 per V atom (or C16 H8 V2 O20 per 2 V), which matches the framework formula (C16 H8 O10 V2)n found in FAQLER and related entries. The paper discusses MIL-100V with open metal V(III) sites and gas adsorption properties, and FAQLER represents the solvent-free vanadium MOF framework most consistent with this description.",llm_formula,(C16 H8 O10 V2)n,False
